id,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24
PPS-DEV-01,0.999196,0.000000,0.000140,0.000085,0.000158,0.000010,0.000028,0.000009,0.000000,0.012432,0.000804,0.029312,0.003594,0.000911,0.000000,0.000000,0.000000,0.000000,0.001501,0.002183,0.000002,0.000123,0.037327,0.005911
PPS-DEV-02,0.000380,0.010987,0.468791,0.000553,0.000000,0.000058,0.000028,0.000031,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.008577,0.002801,0.002801,0.000011,0.000158,0.001170,0.000000,0.001501
PPS-DEV-03,0.000075,0.000626,0.042088,0.000123,0.000000,0.002183,0.004610,0.000380,0.000000,0.000004,0.000296,0.000001,0.999904,0.000000,0.000000,0.000000,0.037327,0.002473,0.000261,0.000431,0.000096,0.132964,0.033086,0.622459
PPS-DEV-04,0.000058,0.000000,0.993307,0.002183,0.000003,0.000002,0.000002,0.000005,0.000000,0.007577,0.000011,0.000001,0.000006,0.001501,0.000000,0.000000,0.000000,0.000000,0.000203,0.006693,0.000488,0.001325,0.000000,0.001927
PPS-DEV-05,0.001927,0.000000,0.705785,0.025957,0.001170,0.000096,0.000710,0.001325,0.000000,0.001927,0.002473,0.000005,0.053403,0.000180,0.000000,0.000000,0.000000,0.000000,0.000380,0.000066,0.000804,0.000000,0.000000,0.000488
PPS-DEV-06,0.000626,0.000000,0.622459,0.000231,0.000010,0.000004,0.000010,0.000003,0.000000,0.001501,0.000431,0.007577,0.001170,0.005911,0.000000,0.000000,0.000000,0.000000,0.005220,0.000096,0.000158,0.007577,0.000000,0.001501
PPS-DEV-07,0.002473,0.000000,0.004070,0.004610,0.977023,0.000002,0.000051,0.000296,0.000000,0.000804,0.000019,0.000002,0.000004,0.000710,0.000000,0.000000,0.000000,0.000000,0.000158,0.000911,0.001701,0.001325,0.000000,0.531209
PPS-DEV-08,0.001701,0.001927,0.037327,0.000140,0.000000,0.020332,0.042088,0.005220,0.000000,0.000028,0.000804,0.000002,0.999797,0.000000,0.000000,0.000000,0.003173,0.002801,0.000335,0.000005,0.009708,0.000035,0.000123,0.437823
PPS-DEV-09,0.000158,0.000431,0.000488,0.000158,0.000000,0.164516,0.148047,0.015906,0.999942,0.000045,0.000203,0.000002,0.893309,0.000000,0.002801,0.000045,0.000000,0.000000,0.004070,0.000380,0.000431,0.000000,0.000000,0.851953
PPS-DEV-10,0.468791,0.000231,0.020332,0.000261,0.000000,0.817574,0.979668,0.000040,0.000000,0.015906,0.000710,0.000002,0.005911,0.000000,0.000203,0.000015,0.000000,0.000000,0.000158,0.025957,0.000626,0.000000,0.000000,0.999860
